Device GV100
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
Metric Name                                                                 Metric Description                                                                                  
--------------------------------------------------------------------------- ----------------------------------------------------------------------------------------------------
sm__instruction_throughput                                                  SM core instruction throughput assuming ideal load balancing across SMSPs                           
sm__throughput                                                              SM throughput assuming ideal load balancing across SMSPs                                            
fbpa__dram_write_throughput                                                 FBPA write throughput                                                                               
lts__throughput                                                             LTS throughput                                                                                      
lts__throughput_internal_activity                                           LTS throughput, internal activity                                                                   
dram__throughput                                                            DRAM throughput                                                                                     
gpu__compute_memory_access_throughput                                       Compute Memory Pipeline : throughput of internal activity within caches and DRAM                    
gpu__compute_memory_request_throughput_internal_activity                    Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM, internal activity 
l1tex__throughput                                                           L1TEX Throughput                                                                                    
gpu__compute_memory_access_throughput_internal_activity                     Compute Memory Pipeline : throughput of internal activity within caches and DRAM, internal activity 
sm__memory_throughput_internal_activity                                     SM memory instruction throughput assuming ideal load balancing across SMSPs, internal activity      
gpu__dram_throughput                                                        GPU DRAM throughput                                                                                 
gpu__compute_memory_throughput                                              Compute Memory Pipeline Throughput                                                                  
fbpa__throughput                                                            FBPA throughput                                                                                     
gpu__compute_memory_request_throughput                                      Compute Memory Pipeline : throughput of interconnects between SM<->Caches<->DRAM                    
sm__instruction_throughput_internal_activity                                SM core instruction throughput assuming ideal load balancing across SMSPs, internal activity        
sm__memory_throughput                                                       SM memory instruction throughput assuming ideal load balancing across SMSPs                         
fbpa__dram_read_throughput                                                  FBPA read throughput                                                                                
l1tex__m_xbar2l1tex_read_sectors_mem_surface_op_atom                        # of sectors read from L2 into L1TEX M-Stage for surface atomics                                    
l1tex__t_set_conflicts_pipe_lsu                                             # of extra cycles spent on set conflicts for LSU pipe local/global                                  
dram__cycles_active                                                         # of cycles where DRAM was active                                                                   
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_cas                     # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic CAS                        
lts__t_requests_srcunit_l1_aperture_sysmem_op_atom_dot_alu                  # of LTS requests from unit L1 accessing system memory (sysmem) for atomic ALU (non-CAS)            
lts__t_sectors_srcunit_l1_aperture_peer_op_atom_dot_alu_lookup_hit          # of LTS sectors from unit L1 accessing peer memory (peermem) for atomic ALU (non-CAS) that hit     
l1tex__m_xbar2l1tex_read_bytes_mem_global_op_atom                           # of bytes read from L2 into L1TEX M-Stage# of sectors read from L2 into L1TEX M-Stage for global   
                                                                            atomics                                                                                             
lts__t_requests_srcunit_l1_aperture_device_op_atom_lookup_miss              # of LTS requests from unit L1 accessing device memory (vidmem) for all atomics that missed         
lts__t_sectors_srcunit_l1_aperture_peer_op_write                            # of LTS sectors from unit L1 accessing peer memory (peermem) for writes                            
smsp__sass_thread_inst_executed_pred_on                                     # of thread instructions where all predicates were true                                             
l1tex__t_output_wavefronts_pipe_tex_mem_surface_op_st                       # of wavefronts sent to Data-Stage from T-Stage for surface stores                                  
smsp__inst_executed_op_surface_atom_pred_off_all                            # of warp instructions executed with all threads predicated off: SUATOM.*                           
lts__t_requests_srcunit_tex_aperture_sysmem_op_write                        # of LTS requests from unit TEX accessing system memory (sysmem) for writes                         
smsp__sass_inst_executed_op_global_ld                                       # of warp instructions executed: LDG, LD                                                            
lts__t_requests_srcunit_l1_op_atom_lookup_miss                              # of LTS requests from unit L1 for all atomics that missed                                          
lts__t_requests_op_write_lookup_hit                                         # of LTS requests for writes that hit                                                               
lts__t_sectors_srcunit_tex_op_atom_lookup_hit                               # of LTS sectors from unit TEX for all atomics that hit                                             
lts__t_sectors_srcunit_l1_aperture_sysmem_op_write                          # of LTS sectors from unit L1 accessing system memory (sysmem) for writes                           
lts__t_requests_srcunit_l1_op_write                                         # of LTS requests from unit L1 for writes                                                           
lts__t_requests_srcunit_l1_aperture_peer_op_red_lookup_hit                  # of LTS requests from unit L1 accessing peer memory (peermem) for reductions that hit              
lts__t_requests_aperture_device_op_red_lookup_hit                           # of LTS requests accessing device memory (vidmem) for reductions that hit                          
l1tex__texin_requests_mem_surface_op_atom                                   # of requests sent to TEXIN for surface atomic instructions (SUATOM, SUATOM.CAS)                    
