keycount,tablesize,gpucount,time
build tests
67108864,2097152,4,
67108864,4194304,4,
67108864,8388608,4,
67108864,16777216,4,
67108864,33554432,4,
67108864,67108864,4,
67108864,134217728,4,
67108864,268435456,4,
67108864,536870912,4,
67108864,1073741824,4,
67108864,2147483648,4,
intersect tests
33554432,2097152,4,
33554432,4194304,4,
33554432,8388608,4,
33554432,16777216,4,
33554432,33554432,4,
33554432,67108864,4,
33554432,134217728,4,
33554432,268435456,4,
33554432,536870912,4,
33554432,1073741824,4,
33554432,2147483648,4,
