keycount,tablesize,gpucount,time
build tests
67108864,2097152,8,0.0781353
67108864,4194304,8,0.0749967
67108864,8388608,8,0.0652605
67108864,16777216,8,0.0730378
67108864,33554432,8,0.0591237
67108864,67108864,8,0.0637317
67108864,134217728,8,0.0773632
67108864,268435456,8,0.0704553
67108864,536870912,8,0.089729
67108864,1073741824,8,0.0857754
67108864,2147483648,8,0.120108
intersect tests
33554432,2097152,8,0.18877
33554432,4194304,8,0.156562
33554432,8388608,8,0.182072
33554432,16777216,8,0.157746
33554432,33554432,8,0.102901
33554432,67108864,8,0.114157
33554432,134217728,8,0.152416
33554432,268435456,8,0.173071
33554432,536870912,8,0.185147
33554432,1073741824,8,0.236218
33554432,2147483648,8,0.281177
