keycount,gpucount,time
build tests
16777216,1,0.0331346
33554432,2,0.0527944
67108864,4,0.065323
134217728,8,0.114937
33554432,1,0.0641638
67108864,2,0.0999332
134217728,4,0.128951
268435456,8,0.226372
67108864,1,0.13308
134217728,2,0.2081
268435456,4,0.276078
536870912,8,0.379625
134217728,1,0.293651
268435456,2,0.416441
536870912,4,0.519183
1073741824,8,0.904787
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
8589934592,1,
17179869184,2,
34359738368,4,
68719476736,8,
intersect tests
8388608,1,0.0468941
16777216,2,0.0632852
33554432,4,0.0951091
67108864,8,0.170156
16777216,1,0.0853412
33554432,2,0.116057
67108864,4,0.168933
134217728,8,0.274745
33554432,1,0.146932
67108864,2,0.20876
134217728,4,0.272589
268435456,8,0.463303
67108864,1,0.286874
134217728,2,0.427265
268435456,4,0.570002
536870912,8,0.803026
134217728,1,
268435456,2,
536870912,4,
1073741824,8,
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
