keycount,gpucount,time
build tests
16777216,1,0.033577
33554432,2,0.0505057
67108864,4,0.0712387
134217728,8,0.10672
33554432,1,0.0642273
67108864,2,0.0989092
134217728,4,0.134486
268435456,8,0.207112
67108864,1,0.132879
134217728,2,0.199899
268435456,4,0.260228
536870912,8,0.402193
134217728,1,0.293427
268435456,2,0.419867
536870912,4,0.532494
1073741824,8,0.784293
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
8589934592,1,
17179869184,2,
34359738368,4,
68719476736,8,
intersect tests
8388608,1,0.0408279
16777216,2,0.0647905
33554432,4,0.0988385
67108864,8,0.164739
16777216,1,0.0843796
33554432,2,0.133035
67108864,4,0.150459
134217728,8,0.292163
33554432,1,0.147315
67108864,2,0.215324
134217728,4,0.288144
268435456,8,0.426444
67108864,1,0.292106
134217728,2,0.424314
268435456,4,0.557476
536870912,8,0.825283
134217728,1,
268435456,2,
536870912,4,
1073741824,8,
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
