keycount,gpucount,time
build tests
16777216,1,0.0323
33554432,2,0.0512072
67108864,4,0.0759613
134217728,8,0.119804
33554432,1,0.0651776
67108864,2,0.101349
134217728,4,0.136969
268435456,8,0.186157
67108864,1,0.133221
134217728,2,0.201105
268435456,4,0.278444
536870912,8,0.371993
134217728,1,0.301606
268435456,2,0.427477
536870912,4,0.526256
1073741824,8,0.742206
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
8589934592,1,
17179869184,2,
34359738368,4,
68719476736,8,
intersect tests
8388608,1,0.0473549
16777216,2,0.0600207
33554432,4,0.102821
67108864,8,0.159159
16777216,1,0.0845179
33554432,2,0.116434
67108864,4,0.166212
134217728,8,0.274013
33554432,1,0.141697
67108864,2,0.21287
134217728,4,0.285071
268435456,8,0.431558
67108864,1,0.291182
134217728,2,0.442546
268435456,4,0.546869
536870912,8,0.813265
134217728,1,
268435456,2,
536870912,4,
1073741824,8,
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
