strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0233011
16777216,2,0.0149637
16777216,4,0.0101581
16777216,8,0.00941056
16777216,16,0.0120607
33554432,1,0.0420454
33554432,2,0.0267848
33554432,4,0.0214405
33554432,8,0.0144456
33554432,16,0.0155832
67108864,1,0.0737126
67108864,2,0.0497254
67108864,4,0.0394107
67108864,8,0.0287048
67108864,16,0.022187
134217728,1,0.149059
134217728,2,0.0848794
134217728,4,0.0676147
134217728,8,0.0455834
134217728,16,0.0316498
268435456,1,0.296057
268435456,2,0.150069
268435456,4,0.129866
268435456,8,0.111344
268435456,16,0.0522158
536870912,1,oom
536870912,2,0.344782
536870912,4,0.233312
536870912,8,0.152255
536870912,16,0.147939
1073741824,1,oom
1073741824,2,oom
1073741824,4,0.474309
1073741824,8,0.292828
1073741824,16,0.145578
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,0.823648
2147483648,16,0.304572
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,0.673159
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,8,oom
8589934592,16,oom
17179869184,1,oom
17179869184,2,oom
