weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0185682
33554432,2,0.0669501
67108864,4,0.132988
134217728,8,0.269438
268435456,16,0.559408
33554432,1,0.0443382
67108864,2,0.140349
134217728,4,0.26889
268435456,8,0.51517
536870912,16,1.04561
67108864,1,0.102418
134217728,2,0.26093
268435456,4,0.557798
536870912,8,0.986896
1073741824,16,2.00255
134217728,1,0.253509
268435456,2,0.701043
536870912,4,1.19875
1073741824,8,2.11936
2147483648,16,3.96369
268435456,1,0.6015
536870912,2,1.26104
1073741824,4,2.45516
2147483648,8,4.4356
4294967296,16,7.98802
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
