strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0126341
16777216,2,0.0156662
16777216,4,0.0180244
16777216,8,0.0218276
16777216,16,0.0320809
33554432,1,0.0303186
33554432,2,0.0292536
33554432,4,0.0320338
33554432,8,0.0314122
33554432,16,0.0497111
67108864,1,0.0733604
67108864,2,0.0617933
67108864,4,0.0593879
67108864,8,0.0592865
67108864,16,0.0660326
134217728,1,0.188676
134217728,2,0.137769
134217728,4,0.116816
134217728,8,0.100187
134217728,16,0.0940442
268435456,1,0.443171
268435456,2,0.313036
268435456,4,0.251006
268435456,8,0.197405
268435456,16,0.185187
536870912,1,oom
536870912,2,0.688961
536870912,4,0.500017
536870912,8,0.389059
536870912,16,0.342239
1073741824,1,oom
1073741824,2,oom
1073741824,4,1.45416
1073741824,8,0.823694
1073741824,16,0.700535
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,2.19697
2147483648,16,1.58418
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,3.42857
8589934592,1,oom
8589934592,2,oom
