weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0119286
33554432,2,0.0289505
67108864,4,0.0570644
134217728,8,0.0997847
268435456,16,0.179529
33554432,1,0.0303411
67108864,2,0.062039
134217728,4,0.113605
268435456,8,0.203377
536870912,16,0.347992
67108864,1,0.0732068
134217728,2,0.136252
268435456,4,0.21679
536870912,8,0.401846
1073741824,16,0.631664
134217728,1,0.182089
268435456,2,0.310047
536870912,4,0.431878
1073741824,8,0.804061
2147483648,16,1.43775
268435456,1,0.444469
536870912,2,0.686124
1073741824,4,1.35632
2147483648,8,2.06201
4294967296,16,3.40746
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
