weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0185682
33554432,2,0.0669501
67108864,4,0.132988
134217728,8,0.269438
268435456,16,0.559408
33554432,1,0.0443382
67108864,2,0.140349
134217728,4,0.26889
268435456,8,0.51517
536870912,16,1.04561
67108864,1,0.102418
134217728,2,0.26093
268435456,4,0.557798
536870912,8,0.986896
1073741824,16,2.00255
134217728,1,0.253509
268435456,2,0.701043
536870912,4,1.19875
1073741824,8,2.11936
2147483648,16,3.96369
268435456,1,0.6015
536870912,2,1.26104
1073741824,4,2.45516
2147483648,8,4.4356
4294967296,16,7.98802
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
intersect tests
8388608,1,0.0219832
16777216,2,0.0727163
33554432,4,0.147128
67108864,8,0.299238
134217728,16,0.673503
16777216,1,0.0553472
33554432,2,0.146389
67108864,4,0.284975
134217728,8,0.548181
268435456,16,1.15068
33554432,1,0.0994273
67108864,2,0.294668
134217728,4,0.544358
268435456,8,1.06538
536870912,16,2.16724
67108864,1,0.238842
134217728,2,0.662405
268435456,4,1.17096
536870912,8,2.1106
1073741824,16,4.14013
134217728,1,0.576579
268435456,2,1.38175
536870912,4,2.49457
1073741824,8,4.48523
2147483648,16,8.24802
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
