duplicate_keys
keycount,tablesize,gpucount,time
build tests
536870912,1048576,6,0.95788
536870912,2097152,6,1.03501
536870912,4194304,6,1.04721
536870912,8388608,6,1.00286
536870912,16777216,6,1.00557
536870912,33554432,6,1.00301
536870912,67108864,6,0.925738
536870912,134217728,6,1.04499
536870912,268435456,6,1.13764
536870912,536870912,6,1.21773
536870912,1073741824,6,1.6582
intersect tests
268435456,1048576,6,3.02758
268435456,2097152,6,2.04932
268435456,4194304,6,1.43169
268435456,8388608,6,1.33538
268435456,16777216,6,1.18041
268435456,33554432,6,1.12343
268435456,67108864,6,1.11891
268435456,134217728,6,1.281
268435456,268435456,6,1.39802
268435456,536870912,6,1.85191
268435456,1073741824,6,3.0764
