strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0375439
16777216,2,0.0337317
16777216,4,0.0495821
16777216,6,0.0760535
33554432,1,0.071297
33554432,2,0.0583598
33554432,4,0.0841472
33554432,6,0.122521
67108864,1,0.1256
67108864,2,0.11503
67108864,4,0.153399
67108864,6,0.211389
134217728,1,0.248206
134217728,2,0.209093
134217728,4,0.291255
134217728,6,0.391191
268435456,1,oom
268435456,2,0.410726
268435456,4,0.568496
268435456,6,0.72827
536870912,1,oom
536870912,2,oom
536870912,4,1.10199
536870912,6,1.45293
1073741824,1,oom
