strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0272947
16777216,2,0.0243743
16777216,4,0.0337039
16777216,6,0.0458138
33554432,1,0.0516301
33554432,2,0.0448696
33554432,4,0.124128
33554432,6,0.0791818
67108864,1,0.0964516
67108864,2,0.0796897
67108864,4,0.106809
67108864,6,0.144223
134217728,1,0.185729
134217728,2,0.150905
134217728,4,0.192162
134217728,6,0.257788
268435456,1,oom
268435456,2,0.283125
268435456,4,0.366423
268435456,6,0.477082
536870912,1,oom
536870912,2,oom
536870912,4,0.809572
536870912,6,0.934878
1073741824,1,oom
