strong_scaling
keycount,gpucount,time
build tests
16777215,1,0.0201001
16777215,2,0.0187013
16777215,4,0.0216812
16777215,6,0.0272865
33554431,1,0.0398787
33554431,2,0.0357919
33554431,4,0.0446525
33554431,6,0.0536556
67108863,1,0.0798239
67108863,2,0.0672225
67108863,4,0.067372
67108863,6,0.0937596
134217727,1,0.146654
134217727,2,0.131143
134217727,4,0.128811
134217727,6,0.174467
268435455,1,0.281261
268435455,2,0.25106
268435455,4,0.245207
268435455,6,0.322238
536870911,1,oom
536870911,2,0.492784
536870911,4,0.544543
536870911,6,0.652678
1073741823,1,oom
1073741823,2,oom
1073741823,4,1.19908
1073741823,6,1.25135
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
8589934591,1,oom
