strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.106502
16777216,2,0.105548
16777216,4,0.159911
16777216,6,0.213847
33554432,1,0.176652
33554432,2,0.150914
33554432,4,0.183027
33554432,6,0.247899
67108864,1,0.317009
67108864,2,0.23727
67108864,4,0.259374
67108864,6,0.319419
134217728,1,0.649124
134217728,2,0.431266
134217728,4,0.415092
134217728,6,0.467047
268435456,1,oom
268435456,2,0.869227
268435456,4,0.8408
268435456,6,0.800363
536870912,1,oom
536870912,2,oom
536870912,4,1.32012
536870912,6,1.40098
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
intersect tests
8388608,1,0.11644
8388608,2,0.113591
8388608,4,0.1604
8388608,6,0.224027
16777216,1,0.199619
16777216,2,0.169897
16777216,4,0.211317
16777216,6,0.286016
33554432,1,0.372728
33554432,2,0.281973
33554432,4,0.303402
33554432,6,0.373496
67108864,1,0.762286
67108864,2,0.510412
67108864,4,0.478502
67108864,6,0.536642
134217728,1,oom
134217728,2,0.952023
134217728,4,0.863296
134217728,6,0.862807
268435456,1,oom
268435456,2,oom
268435456,4,1.48401
268435456,6,1.57709
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,oom
