strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0815263
16777216,2,0.103723
16777216,4,0.181414
16777216,6,0.208737
33554432,1,0.128393
33554432,2,0.145314
33554432,4,0.181071
33554432,6,0.240609
67108864,1,0.2116
67108864,2,0.230079
67108864,4,0.24858
67108864,6,0.298906
134217728,1,0.44539
134217728,2,0.36635
134217728,4,0.398078
134217728,6,0.447282
268435456,1,oom
268435456,2,0.73936
268435456,4,0.708917
268435456,6,0.808303
536870912,1,oom
536870912,2,oom
536870912,4,1.24066
536870912,6,1.23809
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,2.94135
intersect tests
8388608,1,0.0938571
8388608,2,0.114633
8388608,4,0.164408
8388608,6,0.213206
16777216,1,0.173212
16777216,2,0.169083
16777216,4,0.197417
16777216,6,0.254314
33554432,1,0.285558
33554432,2,0.274477
33554432,4,0.283566
33554432,6,0.376044
67108864,1,0.545745
67108864,2,0.47537
67108864,4,0.441978
67108864,6,0.476678
134217728,1,oom
134217728,2,0.904332
134217728,4,0.79604
134217728,6,0.827075
268435456,1,oom
268435456,2,oom
268435456,4,1.50826
268435456,6,1.56031
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,15.2029
