weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0272671
33554432,2,0.0431278
67108864,4,0.10166
100663296,6,0.195983
33554432,1,0.0518298
67108864,2,0.0800716
134217728,4,0.192264
201326592,6,0.371525
67108864,1,0.0968224
134217728,2,0.153327
268435456,4,0.373432
402653184,6,0.698303
134217728,1,0.173217
268435456,2,0.283455
536870912,4,0.70339
805306368,6,1.36323
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
