weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0349338
33554432,2,0.059654
67108864,4,0.1531
100663296,6,0.301448
33554432,1,0.0665651
67108864,2,0.11691
134217728,4,0.289954
201326592,6,0.576279
67108864,1,0.128536
134217728,2,0.211435
268435456,4,0.557577
402653184,6,1.10582
134217728,1,0.248187
268435456,2,0.410072
536870912,4,1.07705
805306368,6,2.11658
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.0409559
16777216,2,0.073847
33554432,4,0.197955
50331648,6,0.402072
16777216,1,0.0763095
33554432,2,0.131152
67108864,4,0.347374
100663296,6,0.720301
33554432,1,0.142023
67108864,2,0.256857
134217728,4,0.669674
201326592,6,1.30079
67108864,1,0.277043
134217728,2,0.474283
268435456,4,1.2727
402653184,6,2.51503
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
