weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0943728
33554432,2,0.133804
67108864,4,0.228453
100663296,6,0.356131
33554432,1,0.158065
67108864,2,0.201564
134217728,4,0.324284
201326592,6,0.551416
67108864,1,0.260568
134217728,2,0.333487
268435456,4,0.638859
402653184,6,0.850345
134217728,1,0.545604
268435456,2,0.674034
536870912,4,1.05126
805306368,6,1.66225
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
51539607552,6,oom
intersect tests
8388608,1,0.106086
16777216,2,0.157795
33554432,4,0.247403
50331648,6,0.357407
16777216,1,0.180642
33554432,2,0.23605
67108864,4,0.366941
100663296,6,0.573476
33554432,1,0.33095
67108864,2,0.432907
134217728,4,0.656407
201326592,6,1.00825
67108864,1,0.630913
134217728,2,0.772755
268435456,4,1.23629
402653184,6,1.85205
134217728,1,oom
268435456,2,oom
536870912,4,oom
805306368,6,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
