weak_scaling
keycount,gpucount,time
build tests
16777215,1,0.0177664
33554430,2,0.0319191
67108860,4,0.0732232
100663290,6,0.114922
33554431,1,0.0352295
67108862,2,0.0624845
134217724,4,0.118617
201326586,6,0.254482
67108863,1,0.0702833
134217726,2,0.123615
268435452,4,0.240805
402653178,6,0.481772
134217727,1,0.140661
268435454,2,0.246276
536870908,4,0.471656
805306362,6,0.874932
268435455,1,0.281388
536870910,2,0.502079
1073741820,4,1.2029
1610612730,6,1.93455
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
8589934591,1,oom
17179869182,2,oom
34359738364,4,oom
51539607546,6,oom
intersect tests
8388607,1,0.0233174
16777214,2,0.0444959
33554428,4,0.10146
50331642,6,0.161902
16777215,1,0.0491827
33554430,2,0.084906
67108860,4,0.174984
100663290,6,0.292526
33554431,1,0.0971552
67108862,2,0.183764
134217724,4,0.312764
201326586,6,0.558104
67108863,1,0.171735
134217726,2,0.30579
268435452,4,0.676962
402653178,6,1.03634
134217727,1,0.342328
268435454,2,0.608354
536870908,4,1.33508
805306362,6,2.23539
268435455,1,oom
536870910,2,oom
1073741820,4,oom
1610612730,6,oom
536870911,1,oom
1073741822,2,oom
2147483644,4,oom
3221225466,6,oom
1073741823,1,oom
2147483646,2,oom
4294967292,4,oom
6442450938,6,oom
2147483647,1,oom
4294967294,2,oom
8589934588,4,oom
12884901882,6,oom
4294967295,1,oom
8589934590,2,oom
17179869180,4,oom
25769803770,6,oom
