duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.121083
67108864,4194304,6,0.126351
67108864,8388608,6,0.129461
67108864,16777216,6,0.136148
67108864,33554432,6,0.13262
67108864,67108864,6,0.137031
67108864,134217728,6,0.162362
67108864,268435456,6,0.210479
67108864,536870912,6,0.280999
67108864,1073741824,6,
67108864,2147483648,6,
intersect tests
33554432,2097152,6,0.174217
33554432,4194304,6,0.16194
33554432,8388608,6,0.164696
33554432,16777216,6,0.166058
33554432,33554432,6,0.163939
33554432,67108864,6,0.193824
33554432,134217728,6,0.260464
33554432,268435456,6,0.374244
33554432,536870912,6,
33554432,1073741824,6,
33554432,2147483648,6,oom
