duplicate_keys
keycount,tablesize,gpucount,time
build tests
536870912,1048576,6,0.770932
536870912,2097152,6,0.732161
536870912,4194304,6,0.702948
536870912,8388608,6,0.721733
536870912,16777216,6,0.702414
536870912,33554432,6,0.721837
536870912,67108864,6,0.768621
536870912,134217728,6,0.821612
536870912,268435456,6,0.813253
536870912,536870912,6,1.04347
536870912,1073741824,6,1.55435
intersect tests
268435456,1048576,6,2.77438
268435456,2097152,6,1.73057
268435456,4194304,6,1.18475
268435456,8388608,6,0.966759
268435456,16777216,6,0.880186
268435456,33554432,6,0.810205
268435456,67108864,6,0.847776
268435456,134217728,6,0.988751
268435456,268435456,6,1.25663
268435456,536870912,6,1.78462
268435456,1073741824,6,2.76892
