weak_scaling
keycount,gpucount,time
build tests
16777216,1,
33554432,2,
67108864,4,
100663296,6,
33554432,1,
67108864,2,
134217728,4,
201326592,6,
67108864,1,
134217728,2,
268435456,4,
402653184,6,
134217728,1,
268435456,2,
536870912,4,
805306368,6,
268435456,1,oom
536870912,2,oom
1073741824,4,oom
1610612736,6,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
3221225472,6,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
6442450944,6,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
12884901888,6,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
25769803776,6,oom
8589934592,1,oom
