keycount,tablesize,gpucount,time
build tests
67108864,2097152,8,0.0580301
67108864,4194304,8,0.0705024
67108864,8388608,8,0.0683704
67108864,16777216,8,0.0721684
67108864,33554432,8,0.0624497
67108864,67108864,8,0.0654193
67108864,134217728,8,0.0740516
67108864,268435456,8,0.0812042
67108864,536870912,8,0.0943094
67108864,1073741824,8,0.0976015
67108864,2147483648,8,0.112628
intersect tests
33554432,2097152,8,0.172413
33554432,4194304,8,0.178891
33554432,8388608,8,0.127246
33554432,16777216,8,0.163775
33554432,33554432,8,0.115248
33554432,67108864,8,0.0961229
33554432,134217728,8,0.159902
33554432,268435456,8,0.175639
33554432,536870912,8,0.182176
33554432,1073741824,8,0.239101
33554432,2147483648,8,0.24948
