keycount,tablesize,gpucount,time
build tests
67108864,2097152,8,0.0680182
67108864,4194304,8,0.0728883
67108864,8388608,8,0.0799447
67108864,16777216,8,0.0706949
67108864,33554432,8,0.0590356
67108864,67108864,8,0.0641802
67108864,134217728,8,0.0763955
67108864,268435456,8,0.0754412
67108864,536870912,8,0.0798249
67108864,1073741824,8,0.0973578
67108864,2147483648,8,0.108602
intersect tests
33554432,2097152,8,0.204929
33554432,4194304,8,0.16904
33554432,8388608,8,0.135283
33554432,16777216,8,0.176119
33554432,33554432,8,0.0996557
33554432,67108864,8,0.110754
33554432,134217728,8,0.165837
33554432,268435456,8,0.169425
33554432,536870912,8,0.189284
33554432,1073741824,8,0.217991
33554432,2147483648,8,0.288689
