keycount,tablesize,gpucount,time
build tests
67108864,2097152,8,0.0622152
67108864,4194304,8,0.0706519
67108864,8388608,8,0.0726661
67108864,16777216,8,0.0720128
67108864,33554432,8,0.0585257
67108864,67108864,8,0.0593684
67108864,134217728,8,0.0690524
67108864,268435456,8,0.078762
67108864,536870912,8,0.0826112
67108864,1073741824,8,0.091691
67108864,2147483648,8,0.110717
intersect tests
33554432,2097152,8,0.205296
33554432,4194304,8,0.145175
33554432,8388608,8,0.152027
33554432,16777216,8,0.17575
33554432,33554432,8,0.11355
33554432,67108864,8,0.122662
33554432,134217728,8,0.15679
33554432,268435456,8,0.173647
33554432,536870912,8,0.191007
33554432,1073741824,8,0.221443
33554432,2147483648,8,0.258794
