keycount,gpucount,time
build tests
16777216,1,0.0325028
16777216,2,0.0279849
16777216,4,0.0228086
16777216,8,0.0594862
33554432,1,0.0726999
33554432,2,0.0536484
33554432,4,0.0344586
33554432,8,0.0378921
67108864,1,0.132583
67108864,2,0.102978
67108864,4,0.0703488
67108864,8,0.0644721
134217728,1,0.293839
134217728,2,0.197102
134217728,4,0.135312
134217728,8,0.115765
268435456,1,
268435456,2,0.415772
268435456,4,0.232936
268435456,8,0.195699
536870912,1,
536870912,2,
536870912,4,0.528768
536870912,8,0.34557
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,0.776124
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
8589934592,1,
8589934592,2,
8589934592,4,
8589934592,8,
intersect tests
8388608,1,0.0380641
8388608,2,0.0350464
8388608,4,0.0411105
8388608,8,0.108064
16777216,1,0.0715561
16777216,2,0.0682189
16777216,4,0.0680817
16777216,8,0.109553
33554432,1,0.165783
33554432,2,0.116574
33554432,4,0.0992727
33554432,8,0.100065
67108864,1,0.290011
67108864,2,0.21082
67108864,4,0.160978
67108864,8,0.149008
134217728,1,
134217728,2,0.426286
134217728,4,0.268797
134217728,8,0.27525
268435456,1,
268435456,2,
268435456,4,0.517581
268435456,8,0.47248
536870912,1,
536870912,2,
536870912,4,
536870912,8,0.867117
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
