keycount,gpucount,time
build tests
16777216,1,0.0354109
16777216,2,0.0267448
16777216,4,0.0273582
16777216,8,0.033154
33554432,1,0.0731556
33554432,2,0.0537969
33554432,4,0.0383631
33554432,8,0.0424847
67108864,1,0.132904
67108864,2,0.102855
67108864,4,0.0725115
67108864,8,0.0617421
134217728,1,0.296422
134217728,2,0.203568
134217728,4,0.127621
134217728,8,0.108602
268435456,1,
268435456,2,0.415724
268435456,4,0.2497
268435456,8,0.195514
536870912,1,
536870912,2,
536870912,4,0.544872
536870912,8,0.34428
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,0.820133
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
8589934592,1,
8589934592,2,
8589934592,4,
8589934592,8,
intersect tests
8388608,1,0.0414372
8388608,2,0.0401961
8388608,4,0.0743526
8388608,8,0.10152
16777216,1,0.0716493
16777216,2,0.0679014
16777216,4,0.0536822
16777216,8,0.143913
33554432,1,0.17775
33554432,2,0.115764
33554432,4,0.105716
33554432,8,0.0909435
67108864,1,0.285494
67108864,2,0.219197
67108864,4,0.152773
67108864,8,0.172042
134217728,1,
134217728,2,0.429687
134217728,4,0.302091
134217728,8,0.255397
268435456,1,
268435456,2,
268435456,4,0.530875
268435456,8,0.452492
536870912,1,
536870912,2,
536870912,4,
536870912,8,0.827657
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
