keycount,gpucount,time
build tests
16777216,1,0.0321884
16777216,2,0.0257464
16777216,4,0.0247398
16777216,8,0.0442378
33554432,1,0.0767375
33554432,2,0.0526592
33554432,4,0.0391946
33554432,8,0.0424151
67108864,1,0.133328
67108864,2,0.104533
67108864,4,0.0697836
67108864,8,0.0632678
134217728,1,0.294505
134217728,2,0.196317
134217728,4,0.133293
134217728,8,0.101436
268435456,1,
268435456,2,0.416702
268435456,4,0.247043
268435456,8,0.209354
536870912,1,
536870912,2,
536870912,4,0.537729
536870912,8,0.380677
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,0.796484
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
8589934592,1,
8589934592,2,
8589934592,4,
8589934592,8,
intersect tests
8388608,1,0.0379945
8388608,2,0.0364431
8388608,4,0.0413204
8388608,8,0.107868
16777216,1,0.0716636
16777216,2,0.0643635
16777216,4,0.0598927
16777216,8,0.142664
33554432,1,0.154671
33554432,2,0.124279
33554432,4,0.0820214
33554432,8,0.11417
67108864,1,0.288989
67108864,2,0.206034
67108864,4,0.155674
67108864,8,0.147816
134217728,1,
134217728,2,0.432848
134217728,4,0.288113
134217728,8,0.297398
268435456,1,
268435456,2,
268435456,4,0.554682
268435456,8,0.465064
536870912,1,
536870912,2,
536870912,4,
536870912,8,0.858583
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
