keycount,gpucount,time
build tests
16777216,1,0.0372132
16777216,2,0.0286996
16777216,4,0.0229724
16777216,8,0.0430479
33554432,1,0.0724408
33554432,2,0.0543549
33554432,4,0.0379433
33554432,8,0.042924
67108864,1,0.135927
67108864,2,0.102988
67108864,4,0.0720292
67108864,8,0.064937
134217728,1,0.294759
134217728,2,0.194393
134217728,4,0.137312
134217728,8,0.0996321
268435456,1,
268435456,2,0.416627
268435456,4,0.253356
268435456,8,0.215705
536870912,1,
536870912,2,
536870912,4,0.529392
536870912,8,0.38232
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,0.921484
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
8589934592,1,
8589934592,2,
8589934592,4,
8589934592,8,
intersect tests
8388608,1,0.043349
8388608,2,0.0406374
8388608,4,0.0670669
8388608,8,0.0788367
16777216,1,0.0787538
16777216,2,0.0566938
16777216,4,0.0605194
16777216,8,0.109079
33554432,1,0.146623
33554432,2,0.123966
33554432,4,0.0895754
33554432,8,0.108794
67108864,1,0.308463
67108864,2,0.215558
67108864,4,0.173583
67108864,8,0.14286
134217728,1,
134217728,2,0.419283
134217728,4,0.29244
134217728,8,0.296266
268435456,1,
268435456,2,
268435456,4,0.548758
268435456,8,0.476861
536870912,1,
536870912,2,
536870912,4,
536870912,8,0.879738
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
4294967296,1,
4294967296,2,
4294967296,4,
4294967296,8,
