keycount,gpucount,time
build tests
16777216,1,0.0340644
33554432,2,0.0488161
67108864,4,0.0646902
134217728,8,0.110567
33554432,1,0.0655421
67108864,2,0.10459
134217728,4,0.119148
268435456,8,0.200432
67108864,1,0.138668
134217728,2,0.195339
268435456,4,0.250116
536870912,8,0.372453
134217728,1,0.292901
268435456,2,0.428749
536870912,4,0.523375
1073741824,8,0.854255
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
8589934592,1,
17179869184,2,
34359738368,4,
68719476736,8,
intersect tests
8388608,1,0.0396247
16777216,2,0.0620933
33554432,4,0.0950456
67108864,8,0.150268
16777216,1,0.0850309
33554432,2,0.124054
67108864,4,0.164013
134217728,8,0.28403
33554432,1,0.147728
67108864,2,0.220272
134217728,4,0.289937
268435456,8,0.435595
67108864,1,0.288566
134217728,2,0.442978
268435456,4,0.549197
536870912,8,0.864007
134217728,1,
268435456,2,
536870912,4,
1073741824,8,
268435456,1,
536870912,2,
1073741824,4,
2147483648,8,
536870912,1,
1073741824,2,
2147483648,4,
4294967296,8,
1073741824,1,
2147483648,2,
4294967296,4,
8589934592,8,
2147483648,1,
4294967296,2,
8589934592,4,
17179869184,8,
4294967296,1,
8589934592,2,
17179869184,4,
34359738368,8,
