keycount,gpucount,time
build tests
16777216,1,
33554432,2,
67108864,4,
33554432,1,
67108864,2,
134217728,4,
67108864,1,
134217728,2,
268435456,4,
134217728,1,
268435456,2,
536870912,4,
268435456,1,
536870912,2,
1073741824,4,
536870912,1,
1073741824,2,
2147483648,4,
1073741824,1,
2147483648,2,
4294967296,4,
2147483648,1,
4294967296,2,
8589934592,4,
4294967296,1,
8589934592,2,
17179869184,4,
8589934592,1,
17179869184,2,
34359738368,4,
intersect tests
8388608,1,
16777216,2,
33554432,4,
16777216,1,
33554432,2,
67108864,4,
33554432,1,
67108864,2,
134217728,4,
67108864,1,
134217728,2,
268435456,4,
134217728,1,
268435456,2,
536870912,4,
268435456,1,
536870912,2,
1073741824,4,
536870912,1,
1073741824,2,
2147483648,4,
1073741824,1,
2147483648,2,
4294967296,4,
2147483648,1,
4294967296,2,
8589934592,4,
4294967296,1,
8589934592,2,
17179869184,4,
