strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0197448
16777216,2,0.0349307
16777216,4,0.0390062
16777216,8,0.0544696
16777216,16,0.133357
33554432,1,0.0442962
33554432,2,0.0665201
33554432,4,0.0704225
33554432,8,0.0863109
33554432,16,0.134142
67108864,1,0.102748
67108864,2,0.142723
67108864,4,0.131049
67108864,8,0.148587
67108864,16,0.210538
134217728,1,0.267932
134217728,2,0.314535
134217728,4,0.264044
134217728,8,0.261124
134217728,16,0.329721
268435456,1,0.602868
268435456,2,0.70451
268435456,4,0.560778
268435456,8,0.500924
268435456,16,0.564247
536870912,1,oom
536870912,2,1.54855
536870912,4,1.18566
536870912,8,1.00559
536870912,16,1.04638
1073741824,1,oom
1073741824,2,oom
1073741824,4,2.5596
1073741824,8,2.02187
1073741824,16,2.00142
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,4.5
2147483648,16,3.97151
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,8.23494
8589934592,1,oom
8589934592,2,oom
