strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0347945
16777216,2,0.0289065
16777216,4,0.0252529
16777216,8,0.0330045
16777216,16,0.0325212
33554432,1,0.0690586
33554432,2,0.0531231
33554432,4,0.0434248
33554432,8,0.039125
33554432,16,0.049835
67108864,1,0.126468
67108864,2,0.102503
67108864,4,0.0760033
67108864,8,0.0630252
67108864,16,0.0839004
134217728,1,0.308427
134217728,2,0.199533
134217728,4,0.151913
134217728,8,0.12153
134217728,16,0.106581
268435456,1,oom
268435456,2,0.419272
268435456,4,0.285738
268435456,8,0.223428
268435456,16,0.190041
536870912,1,oom
536870912,2,oom
536870912,4,0.582222
536870912,8,0.497971
536870912,16,0.365622
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,8,1.13709
1073741824,16,0.739998
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,oom
2147483648,16,1.78463
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,oom
8589934592,1,oom
8589934592,2,oom
