strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.037376
16777216,2,0.041813
16777216,4,0.0450877
16777216,8,0.0729426
16777216,16,0.07535
33554432,1,0.0856883
33554432,2,0.0845865
33554432,4,0.0859648
33554432,8,0.0787825
33554432,16,0.142128
67108864,1,0.156176
67108864,2,0.16384
67108864,4,0.153193
67108864,8,0.131091
67108864,16,0.18134
134217728,1,0.362932
134217728,2,0.312421
134217728,4,0.261543
134217728,8,0.311135
134217728,16,0.21555
268435456,1,oom
268435456,2,0.629188
268435456,4,0.551034
268435456,8,0.431334
268435456,16,0.367084
536870912,1,oom
536870912,2,oom
536870912,4,1.05545
536870912,8,0.890801
536870912,16,0.839766
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,8,1.77052
1073741824,16,1.54657
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,oom
2147483648,16,2.88894
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,8,oom
8589934592,16,oom
intersect tests
8388608,1,0.0487301
8388608,2,0.0512788
8388608,4,0.096212
8388608,8,0.146224
8388608,16,0.16343
16777216,1,0.0933048
16777216,2,0.100197
16777216,4,0.096214
16777216,8,0.118775
16777216,16,0.487466
33554432,1,0.161836
33554432,2,0.174327
33554432,4,0.181305
33554432,8,0.172406
33554432,16,0.300795
67108864,1,0.363747
67108864,2,0.323542
67108864,4,0.29545
67108864,8,0.273304
67108864,16,0.406289
134217728,1,oom
134217728,2,0.696485
134217728,4,0.509431
134217728,8,0.552998
134217728,16,0.472682
268435456,1,oom
268435456,2,oom
268435456,4,1.09704
268435456,8,0.928643
268435456,16,0.782759
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,8,1.90264
536870912,16,1.55463
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,8,oom
1073741824,16,2.95343
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,oom
2147483648,16,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,oom
