strong_scaling
keycount,gpucount,time
build tests
16777216,16777216,1
16777216,16777216,2
16777216,16777216,4
16777216,16777216,8
16777216,16777216,16
33554432,33554432,1
33554432,33554432,2
33554432,33554432,4
33554432,33554432,8
33554432,33554432,16
67108864,67108864,1
67108864,67108864,2
67108864,67108864,4
67108864,67108864,8
67108864,67108864,16
134217728,134217728,1
134217728,134217728,2
134217728,134217728,4
134217728,134217728,8
134217728,134217728,16
268435456,268435456,1
268435456,268435456,2
268435456,268435456,4
268435456,268435456,8
268435456,268435456,16
536870912,536870912,1
536870912,536870912,2
536870912,536870912,4
536870912,536870912,8
536870912,536870912,16
1073741824,1,oom
1073741824,1073741824,2
1073741824,1073741824,4
1073741824,1073741824,8
1073741824,1073741824,16
2147483648,1,oom
2147483648,2,oom
2147483648,2147483648,4
2147483648,2147483648,8
2147483648,2147483648,16
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,2147483648,8
4294967296,2147483648,16
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,8,oom
8589934592,2147483648,16
intersect tests
8388608,8388608,1
8388608,8388608,2
8388608,8388608,4
8388608,8388608,8
8388608,8388608,16
16777216,16777216,1
16777216,16777216,2
16777216,16777216,4
16777216,16777216,8
16777216,16777216,16
33554432,33554432,1
33554432,33554432,2
33554432,33554432,4
33554432,33554432,8
33554432,33554432,16
67108864,67108864,1
67108864,67108864,2
67108864,67108864,4
67108864,67108864,8
67108864,67108864,16
134217728,134217728,1
134217728,134217728,2
134217728,134217728,4
134217728,134217728,8
134217728,134217728,16
268435456,268435456,1
268435456,268435456,2
268435456,268435456,4
268435456,268435456,8
268435456,268435456,16
536870912,1,oom
536870912,536870912,2
536870912,536870912,4
536870912,536870912,8
536870912,536870912,16
1073741824,1,oom
1073741824,2,oom
1073741824,1073741824,4
1073741824,1073741824,8
1073741824,1073741824,16
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,2147483648,8
2147483648,2147483648,16
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,2147483648,16
