weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0451574
33554432,2,0.10556
67108864,4,0.18121
134217728,8,0.324545
268435456,16,0.600427
33554432,1,0.0971284
67108864,2,0.199133
134217728,4,0.341095
268435456,8,0.611583
536870912,16,1.18138
67108864,1,0.188819
134217728,2,0.362769
268435456,4,0.698379
536870912,8,1.10149
1073741824,16,2.30662
134217728,1,0.384068
268435456,2,0.808866
536870912,4,1.19849
1073741824,8,2.29214
2147483648,16,4.22713
268435456,1,0.895069
536870912,2,1.69271
1073741824,4,3.00353
2147483648,8,5.85692
4294967296,16,7.95537
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
17179869184,1,oom
34359738368,2,oom
