weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0406548
33554432,2,0.0877332
67108864,4,0.138915
134217728,8,0.295912
268435456,16,0.390928
33554432,1,0.0911288
67108864,2,0.247063
134217728,4,0.281673
268435456,8,0.538841
536870912,16,0.745814
67108864,1,0.190084
134217728,2,0.303629
268435456,4,0.483541
536870912,8,0.837
1073741824,16,1.43856
134217728,1,0.343329
268435456,2,0.632738
536870912,4,1.07121
1073741824,8,1.79285
2147483648,16,3.40481
268435456,1,0.783366
536870912,2,1.37187
1073741824,4,2.36228
2147483648,8,3.79928
4294967296,16,7.07275
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
17179869184,1,oom
34359738368,2,oom
