weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0109097
33554432,2,0.0376719
67108864,4,0.068353
134217728,8,0.135574
268435456,16,0.310204
33554432,1,0.0289137
67108864,2,0.0835625
134217728,4,0.145621
268435456,8,0.265196
536870912,16,0.550008
67108864,1,0.0710492
134217728,2,0.189354
268435456,4,0.312841
536870912,8,0.524655
1073741824,16,1.05892
134217728,1,0.177973
268435456,2,0.342451
536870912,4,0.671905
1073741824,8,1.08255
2147483648,16,2.06928
268435456,1,0.433854
536870912,2,0.79433
1073741824,4,1.49553
2147483648,8,2.21621
4294967296,16,4.18388
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
