weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0308593
33554432,2,0.0546744
67108864,4,0.0709089
134217728,8,0.124394
268435456,16,0.19274
33554432,1,0.0720568
67108864,2,0.10526
134217728,4,0.141829
268435456,8,0.232332
536870912,16,0.478309
67108864,1,0.132566
134217728,2,0.199596
268435456,4,0.288546
536870912,8,0.531735
1073741824,16,0.687993
134217728,1,0.290042
268435456,2,0.506051
536870912,4,0.632717
1073741824,8,0.974121
2147483648,16,1.7735
268435456,1,0.631074
536870912,2,0.898849
1073741824,4,1.15313
2147483648,8,2.29175
4294967296,16,3.83383
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
17179869184,1,oom
34359738368,2,oom
