weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.037378
33554432,2,0.0753388
67108864,4,0.148684
134217728,8,0.215539
268435456,16,0.418931
33554432,1,0.0772618
67108864,2,0.145663
134217728,4,0.246597
268435456,8,0.423751
536870912,16,0.744852
67108864,1,0.158574
134217728,2,0.309314
268435456,4,0.538949
536870912,8,0.901305
1073741824,16,1.46186
134217728,1,0.334713
268435456,2,0.627159
536870912,4,1.07009
1073741824,8,2.0884
2147483648,16,2.92698
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
intersect tests
8388608,1,0.0501555
16777216,2,0.0870861
33554432,4,0.156638
67108864,8,0.296843
134217728,16,0.488217
16777216,1,0.093909
33554432,2,0.173953
67108864,4,0.261109
134217728,8,0.454217
268435456,16,0.781461
33554432,1,0.184607
67108864,2,0.326292
134217728,4,0.513576
268435456,8,0.914931
536870912,16,1.46143
67108864,1,0.446566
134217728,2,0.672185
268435456,4,1.04331
536870912,8,1.91707
1073741824,16,3.04114
134217728,1,oom
268435456,2,oom
536870912,4,oom
1073741824,8,oom
2147483648,16,oom
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
