weak_scaling
keycount,gpucount,time
build tests
16777216,16777216,1
33554432,33554432,2
67108864,67108864,4
134217728,134217728,8
268435456,268435456,16
33554432,33554432,1
67108864,67108864,2
134217728,134217728,4
268435456,268435456,8
536870912,536870912,16
67108864,67108864,1
134217728,134217728,2
268435456,268435456,4
536870912,536870912,8
1073741824,1073741824,16
134217728,134217728,1
268435456,268435456,2
536870912,536870912,4
1073741824,1073741824,8
2147483648,2147483648,16
268435456,268435456,1
536870912,536870912,2
1073741824,1073741824,4
2147483648,2147483648,8
4294967296,4294967296,16
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
intersect tests
8388608,8388608,1
16777216,16777216,2
33554432,33554432,4
67108864,67108864,8
134217728,134217728,16
16777216,16777216,1
33554432,33554432,2
67108864,67108864,4
134217728,134217728,8
268435456,268435456,16
33554432,33554432,1
67108864,67108864,2
134217728,134217728,4
268435456,268435456,8
536870912,536870912,16
67108864,67108864,1
134217728,134217728,2
268435456,268435456,4
536870912,536870912,8
1073741824,1073741824,16
134217728,134217728,1
268435456,268435456,2
536870912,536870912,4
1073741824,1073741824,8
2147483648,2147483648,16
268435456,1,oom
536870912,2,oom
1073741824,4,oom
2147483648,8,oom
4294967296,16,oom
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
