strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0182999
16777216,2,0.0128737
16777216,4,0.0151777
16777216,8,0.0353987
16777216,16,0.124003
33554432,1,0.0316549
33554432,2,0.0220211
33554432,4,0.0249856
33554432,8,0.0412436
33554432,16,0.123635
67108864,1,0.0582021
67108864,2,0.0384553
67108864,4,0.0406108
67108864,8,0.0496108
67108864,16,0.13178
134217728,1,0.099458
134217728,2,0.0639355
134217728,4,0.0570204
134217728,8,0.0629524
134217728,16,0.149638
268435456,1,0.207813
268435456,2,0.114447
268435456,4,0.080724
268435456,8,0.0887398
268435456,16,0.159819
536870912,1,oom
536870912,2,0.219101
536870912,4,0.155303
536870912,8,0.124144
536870912,16,0.189925
1073741824,1,oom
1073741824,2,oom
1073741824,4,0.325184
1073741824,8,0.195276
1073741824,16,0.265833
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,8,0.384909
2147483648,16,0.393063
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,8,oom
4294967296,16,0.66076
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,8,oom
8589934592,16,oom
17179869184,1,oom
17179869184,2,oom
