weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0298322
33554432,2,0.0362977
67108864,4,0.0671898
134217728,8,0.0916808
268435456,16,0.193936
33554432,1,0.0536771
67108864,2,0.0683346
134217728,4,0.105288
268435456,8,0.140878
536870912,16,0.261272
67108864,1,0.0988774
134217728,2,0.121122
268435456,4,0.193174
536870912,8,0.204649
1073741824,16,0.366627
134217728,1,0.194202
268435456,2,0.231426
536870912,4,0.339146
1073741824,8,0.591455
2147483648,16,0.847773
268435456,1,0.406828
536870912,2,0.483953
1073741824,4,0.653965
2147483648,8,1.29227
4294967296,16,1.61224
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
17179869184,1,oom
34359738368,2,oom
