weak_scaling
keycount,gpucount,time
build tests
16777216,1,0.0164301
33554432,2,0.0206705
67108864,4,0.0370903
134217728,8,0.0661299
268435456,16,0.161486
33554432,1,0.0315709
67108864,2,0.037847
134217728,4,0.0567747
268435456,8,0.0933038
536870912,16,0.224515
67108864,1,0.05312
134217728,2,0.0600607
268435456,4,0.0893553
536870912,8,0.130834
1073741824,16,0.252743
134217728,1,0.0996424
268435456,2,0.110338
536870912,4,0.146989
1073741824,8,0.204247
2147483648,16,0.400767
268435456,1,0.202672
536870912,2,0.238949
1073741824,4,0.298118
2147483648,8,0.436054
4294967296,16,0.692522
536870912,1,oom
1073741824,2,oom
2147483648,4,oom
4294967296,8,oom
8589934592,16,oom
1073741824,1,oom
2147483648,2,oom
4294967296,4,oom
8589934592,8,oom
17179869184,16,oom
2147483648,1,oom
4294967296,2,oom
8589934592,4,oom
17179869184,8,oom
34359738368,16,oom
4294967296,1,oom
8589934592,2,oom
17179869184,4,oom
34359738368,8,oom
68719476736,16,oom
8589934592,1,oom
17179869184,2,oom
34359738368,4,oom
68719476736,8,oom
137438953472,16,oom
17179869184,1,oom
34359738368,2,oom
