keycount,tablesize,gpucount,time
build tests
67108864,2097152,16,0.180571
67108864,4194304,16,0.339035
67108864,8388608,16,0.180698
67108864,16777216,16,0.564809
67108864,33554432,16,0.375743
67108864,67108864,16,0.183695
67108864,134217728,16,0.488633
67108864,268435456,16,0.331612
67108864,536870912,16,0.20412
67108864,1073741824,16,0.224425
67108864,2147483648,16,0.851505
intersect tests
33554432,2097152,16,0.717404
33554432,4194304,16,0.690738
33554432,8388608,16,0.688273
33554432,16777216,16,1.77984
33554432,33554432,16,1.35473
33554432,67108864,16,0.689495
33554432,134217728,16,0.694704
33554432,268435456,16,0.720829
33554432,536870912,16,1.11888
33554432,1073741824,16,1.19999
33554432,2147483648,16,1.4332
