keycount,tablesize,gpucount,time
build tests
67108864,2097152,4,0.122772
67108864,4194304,4,0.118002
67108864,8388608,4,0.121837
67108864,16777216,4,0.123399
67108864,33554432,4,0.130757
67108864,67108864,4,0.135391
67108864,134217728,4,0.155504
67108864,268435456,4,0.191282
67108864,536870912,4,0.268034
67108864,1073741824,4,0.413197
67108864,2147483648,4,0.68612
intersect tests
33554432,2097152,4,0.30783
33554432,4194304,4,0.211675
33554432,8388608,4,0.164782
33554432,16777216,4,0.149946
33554432,33554432,4,0.157221
33554432,67108864,4,0.180081
33554432,134217728,4,0.235832
33554432,268435456,4,0.341197
33554432,536870912,4,0.558669
33554432,1073741824,4,1.00924
33554432,2147483648,4,
