keycount,tablesize,gpucount,time
build tests
67108864,2097152,4,0.121028
67108864,4194304,4,0.125825
67108864,8388608,4,0.124284
67108864,16777216,4,0.126215
67108864,33554432,4,0.129728
67108864,67108864,4,0.138714
67108864,134217728,4,0.155416
67108864,268435456,4,0.196322
67108864,536870912,4,0.272382
67108864,1073741824,4,0.415462
67108864,2147483648,4,0.706345
intersect tests
33554432,2097152,4,0.311335
33554432,4194304,4,0.208726
33554432,8388608,4,0.163278
33554432,16777216,4,0.147264
33554432,33554432,4,0.155213
33554432,67108864,4,0.180449
33554432,134217728,4,0.235891
33554432,268435456,4,0.344485
33554432,536870912,4,0.558806
33554432,1073741824,4,0.996189
33554432,2147483648,4,
