keycount,gpucount,time
build tests
16777216,1,0.0550691
16777216,2,0.0469531
16777216,4,0.0390947
33554432,1,0.122249
33554432,2,0.0911015
33554432,4,0.0702573
67108864,1,0.234342
67108864,2,0.17184
67108864,4,0.135221
134217728,1,0.493152
134217728,2,0.35457
134217728,4,0.267584
268435456,1,
268435456,2,0.733764
268435456,4,0.52952
536870912,1,
536870912,2,
536870912,4,1.16839
1073741824,1,
1073741824,2,
1073741824,4,
2147483648,1,
2147483648,2,
2147483648,4,
4294967296,1,
4294967296,2,
4294967296,4,
8589934592,1,
8589934592,2,
8589934592,4,
intersect tests
8388608,1,0.0626288
8388608,2,0.0565921
8388608,4,0.0520972
16777216,1,0.121286
16777216,2,0.10663
16777216,4,0.0870493
33554432,1,0.244331
33554432,2,0.199138
33554432,4,0.164657
67108864,1,0.513706
67108864,2,0.380956
67108864,4,0.30836
134217728,1,
134217728,2,0.777885
134217728,4,0.582566
268435456,1,
268435456,2,
268435456,4,1.22988
536870912,1,
536870912,2,
536870912,4,
1073741824,1,
1073741824,2,
1073741824,4,
2147483648,1,
2147483648,2,
2147483648,4,
4294967296,1,
4294967296,2,
4294967296,4,
