keycount,gpucount,time
build tests
16777216,1,0.0549638
16777216,2,0.0473138
16777216,4,0.0387846
33554432,1,0.110976
33554432,2,0.0924848
33554432,4,0.0728643
67108864,1,0.233885
67108864,2,0.174847
67108864,4,0.135988
134217728,1,0.4931
134217728,2,0.35233
134217728,4,0.265088
268435456,1,
268435456,2,0.745986
268435456,4,0.566312
536870912,1,
536870912,2,
536870912,4,1.16407
1073741824,1,
1073741824,2,
1073741824,4,
2147483648,1,
2147483648,2,
2147483648,4,
4294967296,1,
4294967296,2,
4294967296,4,
8589934592,1,
8589934592,2,
8589934592,4,
intersect tests
8388608,1,0.0625068
8388608,2,0.0566698
8388608,4,0.0503604
16777216,1,0.121336
16777216,2,0.105202
16777216,4,0.0904331
33554432,1,0.244428
33554432,2,0.201875
33554432,4,0.165671
67108864,1,0.513073
67108864,2,0.381656
67108864,4,0.313741
134217728,1,
134217728,2,0.778235
134217728,4,0.595769
268435456,1,
268435456,2,
268435456,4,1.23242
536870912,1,
536870912,2,
536870912,4,
1073741824,1,
1073741824,2,
1073741824,4,
2147483648,1,
2147483648,2,
2147483648,4,
4294967296,1,
4294967296,2,
4294967296,4,
