keycount,gpucount,time
build tests
16777216,1,0.166871
16777216,2,0.130605
16777216,4,
16777216,8,
16777216,16,
33554432,1,0.319255
33554432,2,0.243016
33554432,4,
33554432,8,
33554432,16,
67108864,1,0.623591
67108864,2,0.466768
67108864,4,
67108864,8,
67108864,16,
134217728,1,1.23272
134217728,2,0.915822
134217728,4,
134217728,8,
134217728,16,
268435456,1,
268435456,2,1.8197
268435456,4,
268435456,8,
268435456,16,
536870912,1,
536870912,2,
536870912,4,
536870912,8,
536870912,16,
1073741824,1,
1073741824,2,
1073741824,4,
1073741824,8,
1073741824,16,
2147483648,1,
2147483648,2,
2147483648,4,
2147483648,8,
2147483648,16,
4294967296,1,
4294967296,2,
