duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.365331
67108864,4194304,6,0.367863
67108864,8388608,6,0.371566
67108864,16777216,6,0.36957
67108864,33554432,6,0.376782
67108864,67108864,6,0.405357
67108864,134217728,6,0.447281
67108864,268435456,6,0.529644
67108864,536870912,6,0.660863
67108864,1073741824,6,1.00058
67108864,2147483648,6,1.56938
intersect tests
33554432,2097152,6,
33554432,4194304,6,
33554432,8388608,6,
33554432,16777216,6,
33554432,33554432,6,
33554432,67108864,6,
33554432,134217728,6,
33554432,268435456,6,
33554432,536870912,6,
33554432,1073741824,6,
33554432,2147483648,6,
