duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.278533
67108864,4194304,6,0.274465
67108864,8388608,6,0.277692
67108864,16777216,6,0.282282
67108864,33554432,6,0.298074
67108864,67108864,6,0.326936
67108864,134217728,6,0.384252
67108864,268435456,6,0.406489
67108864,536870912,6,0.642543
67108864,1073741824,6,1.04175
67108864,2147483648,6,1.73868
intersect tests
33554432,2097152,6,0.469372
33554432,4194304,6,0.393191
33554432,8388608,6,0.36462
33554432,16777216,6,0.362863
33554432,33554432,6,0.392345
33554432,67108864,6,0.46372
33554432,134217728,6,0.591723
33554432,268435456,6,0.884766
33554432,536870912,6,1.33664
33554432,1073741824,6,2.40945
33554432,2147483648,6,
