keycount,tablesize,gpucount,time
build tests
67108864,2097152,1,0.441905
67108864,4194304,1,0.449015
67108864,8388608,1,0.461587
67108864,16777216,1,0.488112
67108864,33554432,1,0.540737
67108864,67108864,1,0.645069
67108864,134217728,1,0.853408
67108864,268435456,1,1.27267
67108864,536870912,1,2.10888
67108864,1073741824,1,
67108864,2147483648,1,
intersect tests
33554432,2097152,1,1.03862
33554432,4194304,1,0.745728
33554432,8388608,1,0.637859
33554432,16777216,1,0.666937
33554432,33554432,1,0.816578
33554432,67108864,1,1.13176
33554432,134217728,1,1.78171
33554432,268435456,1,
33554432,536870912,1,
33554432,1073741824,1,
33554432,2147483648,1,
