duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.238473
67108864,4194304,6,0.238577
67108864,8388608,6,0.253764
67108864,16777216,6,0.254284
67108864,33554432,6,0.265781
67108864,67108864,6,0.295936
67108864,134217728,6,0.343268
67108864,268435456,6,0.450766
67108864,536870912,6,0.615584
67108864,1073741824,6,1.03108
67108864,2147483648,6,1.72609
intersect tests
33554432,2097152,6,0.368519
33554432,4194304,6,0.30719
33554432,8388608,6,0.282595
33554432,16777216,6,0.293673
33554432,33554432,6,0.327573
33554432,67108864,6,0.385255
33554432,134217728,6,0.5033
33554432,268435456,6,0.763139
33554432,536870912,6,1.18863
33554432,1073741824,6,2.29819
33554432,2147483648,6,
