duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.378031
67108864,4194304,6,0.372956
67108864,8388608,6,0.40667
67108864,16777216,6,0.382699
67108864,33554432,6,0.385873
67108864,67108864,6,0.407453
67108864,134217728,6,0.440554
67108864,268435456,6,0.512773
67108864,536870912,6,0.667442
67108864,1073741824,6,0.976474
67108864,2147483648,6,1.59098
intersect tests
33554432,2097152,6,0.552862
33554432,4194304,6,0.468417
33554432,8388608,6,0.432884
33554432,16777216,6,0.452202
33554432,33554432,6,0.467879
33554432,67108864,6,0.511908
33554432,134217728,6,0.595841
33554432,268435456,6,0.832078
33554432,536870912,6,1.13147
33554432,1073741824,6,2.06469
33554432,2147483648,6,225.324
