duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.314732
67108864,4194304,6,0.284656
67108864,8388608,6,0.284646
67108864,16777216,6,0.2866
67108864,33554432,6,0.300223
67108864,67108864,6,0.324164
67108864,134217728,6,0.378891
67108864,268435456,6,0.469547
67108864,536870912,6,0.653216
67108864,1073741824,6,1.02486
67108864,2147483648,6,1.76935
intersect tests
33554432,2097152,6,0.447348
33554432,4194304,6,0.372499
33554432,8388608,6,0.351882
33554432,16777216,6,0.356679
33554432,33554432,6,0.397379
33554432,67108864,6,0.469828
33554432,134217728,6,0.605112
33554432,268435456,6,0.851357
33554432,536870912,6,1.35905
33554432,1073741824,6,2.17216
33554432,2147483648,6,0
