duplicate_keys
keycount,tablesize,gpucount,time
build tests
67108864,2097152,6,0.240216
67108864,4194304,6,0.23932
67108864,8388608,6,0.247681
67108864,16777216,6,0.255137
67108864,33554432,6,0.269947
67108864,67108864,6,0.291403
67108864,134217728,6,0.341618
67108864,268435456,6,0.436364
67108864,536870912,6,0.60482
67108864,1073741824,6,0.967659
67108864,2147483648,6,1.69477
intersect tests
33554432,2097152,6,0.345146
33554432,4194304,6,0.290696
33554432,8388608,6,0.274548
33554432,16777216,6,0.302169
33554432,33554432,6,0.339541
33554432,67108864,6,0.419577
33554432,134217728,6,0.552875
33554432,268435456,6,0.731917
33554432,536870912,6,1.2981
33554432,1073741824,6,2.27333
33554432,2147483648,6,0
