strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0595009
16777216,2,0.0409834
16777216,4,0.0289608
16777216,6,0.0326468
33554432,1,0.112796
33554432,2,0.0844385
33554432,4,0.05638
33554432,6,0.0546638
67108864,1,0.24322
67108864,2,0.166833
67108864,4,0.10017
67108864,6,0.113806
134217728,1,0.460524
134217728,2,0.3144
134217728,4,0.205741
134217728,6,0.210045
268435456,1,oom
268435456,2,0.639116
268435456,4,0.371412
268435456,6,0.358229
536870912,1,oom
536870912,2,oom
536870912,4,0.699756
536870912,6,0.627666
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
