strong_scaling
keycount,gpucount,time
build tests
16777215,1,
16777215,2,
16777215,4,
16777215,6,
33554431,1,
33554431,2,
33554431,4,
33554431,6,
67108863,1,
67108863,2,
67108863,4,
67108863,6,
134217727,1,
134217727,2,
134217727,4,
134217727,6,
268435455,1,oom
268435455,2,
268435455,4,
268435455,6,
536870911,1,oom
536870911,2,oom
536870911,4,
536870911,6,
1073741823,1,oom
1073741823,2,oom
1073741823,4,oom
1073741823,6,
2147483647,1,oom
2147483647,2,oom
2147483647,4,oom
2147483647,6,oom
4294967295,1,oom
4294967295,2,oom
4294967295,4,oom
4294967295,6,oom
8589934591,1,oom
