strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0574286
16777216,2,0.034587
16777216,4,0.0207825
16777216,6,0.0253821
33554432,1,0.103649
33554432,2,0.0714467
33554432,4,0.0418538
33554432,6,0.0466372
67108864,1,0.18193
67108864,2,0.132591
67108864,4,0.0858817
67108864,6,0.0851421
134217728,1,0
134217728,2,0.243626
134217728,4,0.154887
134217728,6,0.189383
268435456,1,oom
268435456,2,0
268435456,4,0.287799
268435456,6,0.275009
536870912,1,oom
536870912,2,oom
536870912,4,0
536870912,6,0.479
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,0
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
