strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.0900873
16777216,2,0.0901822
16777216,4,0.132821
16777216,6,0.197432
33554432,1,0.140643
33554432,2,0.12189
33554432,4,0.153306
33554432,6,0.222284
67108864,1,0.242549
67108864,2,0.18111
67108864,4,0.201019
67108864,6,0.289241
134217728,1,0.461345
134217728,2,0.313032
134217728,4,0.275259
134217728,6,0.35888
268435456,1,0.894773
268435456,2,0.574524
268435456,4,0.452295
268435456,6,0.532444
536870912,1,oom
536870912,2,1.09811
536870912,4,0.809424
536870912,6,0.883947
1073741824,1,oom
1073741824,2,oom
1073741824,4,1.55249
1073741824,6,1.51913
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
