strong_scaling
keycount,gpucount,time
build tests
16777216,1,0.114433
16777216,2,0.153332
16777216,4,0.172507
16777216,6,0.23943
33554432,1,0.186605
33554432,2,0.239287
33554432,4,0.236742
33554432,6,0.290172
67108864,1,0.342063
67108864,2,0.398798
67108864,4,0.359074
67108864,6,0.417753
134217728,1,0.667322
134217728,2,0.739559
134217728,4,0.591759
134217728,6,0.64585
268435456,1,oom
268435456,2,1.4293
268435456,4,1.13094
268435456,6,1.07946
536870912,1,oom
536870912,2,oom
536870912,4,2.06015
536870912,6,2.00915
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
8589934592,1,oom
8589934592,2,oom
8589934592,4,oom
8589934592,6,oom
intersect tests
8388608,1,0.13169
8388608,2,0.155453
8388608,4,
8388608,6,
16777216,1,0.233882
16777216,2,0.273179
16777216,4,
16777216,6,
33554432,1,0.435328
33554432,2,0.485317
33554432,4,
33554432,6,
67108864,1,0.863411
67108864,2,0.85503
67108864,4,
67108864,6,
134217728,1,oom
134217728,2,1.62308
134217728,4,
134217728,6,
268435456,1,oom
268435456,2,oom
268435456,4,2.87112
268435456,6,
536870912,1,oom
536870912,2,oom
536870912,4,oom
536870912,6,oom
1073741824,1,oom
1073741824,2,oom
1073741824,4,oom
1073741824,6,oom
2147483648,1,oom
2147483648,2,oom
2147483648,4,oom
2147483648,6,oom
4294967296,1,oom
4294967296,2,oom
4294967296,4,oom
4294967296,6,oom
